                        ********************************
*     UNIVERSITY OF BOLO********************************




                        PROGRAM RICHARDS
                        ****************


  INFILTRATION IN HOMOGENEOUS COLUMN OF SAND                                    



    NUMBER OF NODES                 (NNODE)...: 60
    NUMBER OF SOIL MATERIALS        (NMAT)....:  4
    NUMBER OF LAYERS (NLAY)....:  1
    KODE   OF SOLUTION METHOD (KODE)....:  1
    KODE   FOR RESTART READING      (KREST)...:  0
    KODE   FOR BOUNDARY CONDITIONS  (KBOUN)...:  0
    KODE FOR COMP.INTEBLOCK COND.   (KBLOCK)..:  1


                             SOIL PARAMETERS
                             ***************

    IM   KS(IM)     PA(IM)   ALFA(IM)  BETA(IM)  GAMMA(IM) TETAS(IM) TETAR(IM)

   1  9.440E-03  1.175E+06  1.611E+06    4.740    3.960    0.287    0.075
  10  1.230E-05  1.246E+02  7.390E+02    1.770    4.000    0.495    0.124
  20  6.260E-03  0.000E+00  2.800E-02    2.239    0.553    0.366    0.029
  21  1.516E-04  0.000E+00  1.040E-02    1.395    0.283    0.469    0.106


                             RUN CONTROL DATA
                             ****************

    DTMIN:  0.10E-04    DTPRINT: 0.200E+03  TPRINT: 0.200E+03    ITERMX:   30

    NSTEPS:   100000    TINIZ: 0.000E+00    TFINAL: 0.400E+04    EPS: 0.100E-07

    ZMIN:     0.00      DZ:   0.20E+01      DT: 0.100E-05        DTMAX:  0.100E+02

    DMUL: 1.10          DDIV: 0.50          NLIM:   10



 INITIAL CONDITION TABLE
  NODE   IMAT            Z                  HO                 TETA               K

     1    1        0.000000E+00       -2.000000E+01        2.698348E-01        4.195908E-03
     2    1        2.000000E+00       -1.000000E+02        7.902810E-02        3.671478E-06
     3    1        4.000000E+00       -1.000000E+02        7.902810E-02        3.671478E-06
     4    1        6.000000E+00       -1.000000E+02        7.902810E-02        3.671478E-06
     5    1        8.000000E+00       -1.000000E+02        7.902810E-02        3.671478E-06
     6    1        1.000000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
     7    1        1.200000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
     8    1        1.400000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
     9    1        1.600000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    10    1        1.800000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    11    1        2.000000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    12    1        2.200000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    13    1        2.400000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    14    1        2.600000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    15    1        2.800000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    16    1        3.000000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    17    1        3.200000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    18    1        3.400000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    19    1        3.600000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    20    1        3.800000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    21    1        4.000000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
