                        ********************************
*     UNIVERSITY OF BOLO********************************




                        PROGRAM RICHARDS
                        ****************


  INFILTRATION IN HOMOGENEOUS COLUMN OF SAND                                    



    NUMBER OF NODES                 (NNODE)...: 60
    NUMBER OF SOIL MATERIALS        (NMAT)....:  4
    NUMBER OF LAYERS (NLAY)....:  1
    KODE   OF SOLUTION METHOD (KODE)....:  4
    KODE   FOR RESTART READING      (KREST)...:  0
    KODE   FOR BOUNDARY CONDITIONS  (KBOUN)...:  0
    KODE FOR COMP.INTEBLOCK COND.   (KBLOCK)..:  4


                             SOIL PARAMETERS
                             ***************

    IM   KS(IM)     PA(IM)   ALFA(IM)  BETA(IM)  GAMMA(IM) TETAS(IM) TETAR(IM)
 WATER OUT IN THE STEP:   3.6715E-06   CUM. WATER OUT:            2.2050E-04
 INITIAL WATER VOLUME:    9.8650E+00   ACTUAL WATER VOLUME:       1.0955E+01
 WATER BALANCE ERROR %:  -2.3305E+01   NUMBER OF TIME STEPS :         168


       NODE  IMAT    Z               H                   T

         1    1    0.50        -2.000000E+01        2.698348E-01
         2    1    2.50        -2.219124E+01        2.621173E-01
         3    1    4.50        -2.559984E+01        2.467759E-01
         4    1    6.50        -3.172821E+01        2.119679E-01
         5    1    8.50        -4.706034E+01        1.337279E-01
         6    1   10.50        -7.861810E+01        8.513641E-02
         7    1   12.50        -9.758936E+01        7.942823E-02
         8    1   14.50        -9.985103E+01        7.905150E-02
         9    1   16.50        -9.999196E+01        7.902936E-02
        10    1   18.50        -9.999960E+01        7.902816E-02
        11    1   20.50        -9.999998E+01        7.902810E-02
        12    1   22.50        -1.000000E+02        7.902810E-02
        13    1   24.50        -1.000000E+02        7.902810E-02
        14    1   26.50        -1.000000E+02        7.902810E-02
        15    1   28.50        -1.000000E+02        7.902810E-02
        16    1   30.50        -1.000000E+02        7.902810E-02
        17    1   32.50        -1.000000E+02        7.902810E-02
        18    1   34.50        -1.000000E+02        7.902810E-02
        19    1   36.50        -1.000000E+02        7.902810E-02
        20    1   38.50        -1.000000E+02        7.902810E-02
        21    1   40.50        -1.000000E+02        7.902810E-02
        22    1   42.50        -1.000000E+02        7.902810E-02
        23    1   44.50        -1.000000E+02        7.902810E-02
        24    1   46.50        -1.000000E+02        7.902810E-02
        25    1   48.50        -1.000000E+02        7.902810E-02
        26    1   50.50        -1.000000E+02        7.902810E-02
